Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Pusa caspica,Negative,Negative,monogamous,no,-42.02,-5.25,0.03,NA,62.33,2,2,365,1,50.00,2199.16,31.32,NA,NA,NA,NA,NA,NA
Arctocephalus australis,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,1,67.98,6,2,365,1,21.00,1729.33,365,NA,NA,NA,NA,NA,NA
Pusa hispida,Negative,Negative,polygamous,yes,-42.01,-5.25,0.03,2,70.96,6,2,365,1,46.00,2251.64,45.23,NA,NA,NA,NA,NA,NA
Panthera onca,Negative,Negative,polygamous,no,44.74,5,65.9,2,83.94,1,1,365,1.96,23.00,1184.16,156.6,10500825.25,-1.76,-73.43,12.65,15.87,24.20
Phoca vitulina,Negative,Negative,polygamous,no,-42.01,-5.25,0.03,2,87.32,1,2,365,1,40.00,1526.85,30.74,NA,NA,NA,NA,NA,NA
Pusa sibirica,Negative,Negative,polygamous,no,-42.01,-5.25,0.03,2,89.50,1,2,365,1,56.00,2276.14,66.11,NA,NA,NA,NA,NA,NA
Histriophoca fasciata,Negative,Negative,polygamous,yes,-42,-5.24,0.03,NA,90.00,6,2,365,1,31.00,1262.74,24.5,NA,NA,NA,NA,NA,NA
Arctocephalus tropicalis,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,NA,92.22,6,2,365,1.4,23.00,1538.68,304.16,NA,NA,NA,NA,NA,NA
Arctocephalus philippii,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,NA,95.00,6,2,365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocephalus gazella,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,1,96.60,1,2,365,1,23.00,1691.66,116.28,NA,NA,NA,NA,NA,NA
Phoca largha,Negative,Negative,monogamous,yes,-42.01,-5.25,0.03,2,98.88,6,2,365,1,35.51,1497.64,27.84,NA,NA,NA,NA,NA,NA
Ursus thibetanus,Negative,Negative,polygamous,no,-32.93,-1.32,0.05,2,99.71,3,1,365,1.5,35.17,1015,82.01,5348705.49,28.27,102.35,156.32,11.16,12.66
Melursus ursinus,Negative,Negative,NA,no,-32.92,-1.31,0.05,2,100.00,6,1,1095,1.54,40.00,1262.74,194.67,417387.69,18.25,85.13,235.88,11.95,24.18
Arctocephalus townsendi,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,NA,101.06,1,2,365,1,24.00,NA,328.13,NA,NA,NA,NA,NA,NA
Arctocephalus forsteri,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,1,101.25,6,2,365,1,15.00,2668.42,323.72,NA,NA,NA,NA,NA,NA
Ursus americanus,Negative,Negative,polygamous,no,-32.93,-1.32,0.05,3,110.50,1,1,821.25,2.39,32.00,1448.45,167.99,9650153.48,47.57,0,11.45,5.19,0.39
Ailuropoda melanoleuca,Negative,Negative,polygamous,no,-32.79,-1.3,0.05,2,118.00,3,1,638.75,1.62,30.00,2413.02,178.98,36206.89,30.76,104.78,103.55,10.18,6.55
Tremarctos ornatus,Negative,Negative,polygamous,no,-32.83,-1.31,0.05,2,123.18,5,1,NA,1.44,36.42,NA,173.44,409517.73,-5.52,-71.63,35.22,12.54,17.98
Pagophilus groenlandicus,Negative,Negative,polygamous,no,-42,-5.24,0.03,NA,132.25,6,2,365,1,42.00,1862.3,11.45,NA,NA,NA,NA,NA,NA
Zalophus californianus,Negative,Negative,polygamous,yes,-42.09,-5.27,0.03,2,137.19,6,2,547.5,1.41,30.00,2023.55,319.01,NA,NA,NA,NA,NA,NA
Panthera leo,Negative,Negative,polygamous,yes,44.74,5,65.91,1,158.62,1,1,730,2.75,30.00,987.77,197.86,11237685.34,-3.41,28.65,28.6,8.58,23.44
Panthera tigris,Negative,Negative,polygamous,no,44.74,5,65.89,1,161.91,1,1,821.25,2.6,26.30,1522.5,118.55,2494993.45,21.02,105.29,164.5,13.90,21.15
Arctocephalus pusillus,Negative,Negative,polygamous,yes,-42.09,-5.27,0.03,1,178.50,1,2,365,1,21.00,1698.17,356.3,NA,NA,NA,NA,NA,NA
Neophoca cinerea,Negative,Negative,polygamous,yes,-42.09,-5.27,0.03,2,189.27,6,2,539.89,1.35,16.00,1587.55,542.19,NA,NA,NA,NA,NA,NA
Otaria flavescens,Negative,Negative,polygamous,yes,-42.09,-5.27,0.03,NA,193.67,6,2,365,1,24.80,1860.83,363.96,NA,NA,NA,NA,NA,NA
Ursus arctos,Negative,Negative,polygamous,yes,-32.93,-1.32,0.05,2,196.29,6,1,912.5,2.24,50.00,1327.95,182.5,23972321.42,50.76,5.93,14.85,3.50,-4.66
Halichoerus grypus,Negative,Negative,polygamous,yes,-42.02,-5.25,0.03,NA,197.57,2,2,365,0.96,46.67,1770.72,18.37,NA,NA,NA,NA,NA,NA
